ID,Name,Base,Unit,Phase,Type,Direction,Misc,Description
297,Voltage Dip Count N33 on Input V1,,,,,,,
298,Voltage Dip Count N34 on Input V1,,,,,,,
299,Voltage Dip Count N41 on Input V1,,,,,,,
300,Voltage Dip Count N42 on Input V1,,,,,,,
301,Voltage Dip Count N43 on Input V1,,,,,,,
302,Voltage Dip Count N44 on Input V1,,,,,,,
303,Voltage Dip Count N51 on Input V1,,,,,,,
304,Voltage Dip Count N52 on Input V1,,,,,,,
305,Voltage Dip Count N53 on Input V1,,,,,,,
306,Voltage Dip Count N54 on Input V1,,,,,,,
307,Voltage Dip Count N61 on Input V1,,,,,,,
308,Voltage Dip Count N62 on Input V1,,,,,,,
309,Voltage Dip Count N63 on Input V1,,,,,,,
310,Voltage Dip Count N64 on Input V1,,,,,,,
311,Voltage Flicker Count N on Input V1,,,,,,,
312,Voltage Flicker Count N invalid on Input V1,,,,,,,
313,Voltage Flicker Count N1 on Input V1,,,,,,,
314,Voltage Flicker Plt on Input V1,,,,,,,
315,Voltage Harmonics Count N on Input V1,,,,,,,
316,Voltage Harmonics Count N invalid on Input V1,,,,,,,
317,Voltage Harmonics Count N1 on Input V1,,,,,,,
318,Voltage Harmonics Count N2 on Input V1,,,,,,,
319,Voltage Inter-Harmonics Count N on Input V1,,,,,,,
320,Voltage Inter-Harmonics Count N invalid on Input V1,,,,,,,
321,Voltage Inter-Harmonics Count N1 on Input V1,,,,,,,
322,Voltage Interruption Count N1 on Input V1,,,,,,,
323,Voltage Interruption Count N2 on Input V1,,,,,,,
324,Voltage Interruption Count N3 on Input V1,,,,,,,
325,Voltage Interruption Duration on Input V1,,,,,,,
326,Voltage Magnitude Count N on Input V1,,,,,,,
327,Voltage Magnitude Count N invalid on Input V1,,,,,,,
328,Voltage Magnitude Count N1 on Input V1,,,,,,,
329,Voltage Mains Signaling Count N on Input V1,,,,,,,
330,Voltage Mains Signaling Count N1 on Input V1,,,,,,,
331,Voltage Mains Signaling Count N invalid on Input V1,,,,,,,
332,Overvoltage Extreme as Percentage of Nominal on Input V1,,,,,,,
333,Overvoltage Duration on Input V1,,,,,,,
334,Overvoltage Count N11 on Input V1,,,,,,,
335,Overvoltage Count N12 on Input V1,,,,,,,
336,Overvoltage Count N13 on Input V1,,,,,,,
337,Overvoltage Count N14 on Input V1,,,,,,,
338,Overvoltage Count N15 on Input V1,,,,,,,
339,Overvoltage Count N21 on Input V1,,,,,,,
340,Overvoltage Count N22 on Input V1,,,,,,,
341,Overvoltage Count N23 on Input V1,,,,,,,
342,Overvoltage Count N24 on Input V1,,,,,,,
343,Overvoltage Count N25 on Input V1,,,,,,,
344,Overvoltage Count N31 on Input V1,,,,,,,
345,Overvoltage Count N32 on Input V1,,,,,,,
346,Overvoltage Count N33 on Input V1,,,,,,,
347,Overvoltage Count N34 on Input V1,,,,,,,
348,Overvoltage Count N35 on Input V1,,,,,,,
349,Voltage Dip Extreme as Percentage of Nominal on Input V2,,,,,,,
350,Voltage Dip Duration on Input V2,,,,,,,
351,Voltage Dip Count N11 on Input V2,,,,,,,
352,Voltage Dip Count N12 on Input V2,,,,,,,
353,Voltage Dip Count N13 on Input V2,,,,,,,
354,Voltage Dip Count N14 on Input V2,,,,,,,
355,Voltage Dip Count N21 on Input V2,,,,,,,
356,Voltage Dip Count N22 on Input V2,,,,,,,
357,Voltage Dip Count N23 on Input V2,,,,,,,
358,Voltage Dip Count N24 on Input V2,,,,,,,
359,Voltage Dip Count N31 on Input V2,,,,,,,
360,Voltage Dip Count N32 on Input V2,,,,,,,
361,Voltage Dip Count N33 on Input V2,,,,,,,
362,Voltage Dip Count N34 on Input V2,,,,,,,
363,Voltage Dip Count N41 on Input V2,,,,,,,
364,Voltage Dip Count N42 on Input V2,,,,,,,
365,Voltage Dip Count N43 on Input V2,,,,,,,
366,Voltage Dip Count N44 on Input V2,,,,,,,
367,Voltage Dip Count N51 on Input V2,,,,,,,
368,Voltage Dip Count N52 on Input V2,,,,,,,
369,Voltage Dip Count N53 on Input V2,,,,,,,
370,Voltage Dip Count N54 on Input V2,,,,,,,
371,Voltage Dip Count N61 on Input V2,,,,,,,
372,Voltage Dip Count N62 on Input V2,,,,,,,
373,Voltage Dip Count N63 on Input V2,,,,,,,
374,Voltage Dip Count N64 on Input V2,,,,,,,
375,Voltage Flicker Count N on Input V2,,,,,,,
376,Voltage Flicker Count N invalid on Input V2,,,,,,,
377,Voltage Flicker Count N1 on Input V2,,,,,,,
378,Voltage Flicker Plt on Input V2,,,,,,,
379,Voltage Flicker Pst on Input V2,,,,,,,
380,Voltage Harmonics Count N on Input V2,,,,,,,
381,Voltage Harmonics Count N invalid on Input V2,,,,,,,
382,Voltage Harmonics Count N1 on Input V2,,,,,,,
383,Voltage Harmonics Count N2 on Input V2,,,,,,,
384,Voltage Inter-Harmonics Count N on Input V2,,,,,,,
385,Voltage Inter-Harmonics Count N invalid on Input V2,,,,,,,
386,Voltage Inter-Harmonics Count N1 on Input V2,,,,,,,
387,Voltage Interruption Count N1 on Input V2,,,,,,,
388,Voltage Interruption Count N2 on Input V2,,,,,,,
389,Voltage Interruption Count N3 on Input V2,,,,,,,
390,Voltage Interruption Duration on Input V2,,,,,,,
391,Voltage Magnitude Count N on Input V2,,,,,,,
392,Voltage Magnitude Count N invalid on Input V2,,,,,,,
393,Voltage Magnitude Count N1 on Input V2,,,,,,,
394,Voltage Mains Signaling Count N on Input V2,,,,,,,
395,Voltage Mains Signaling Count N1 on Input V2,,,,,,,
396,Voltage Mains Signaling Count N invalid on Input V2,,,,,,,
397,Overvoltage Extreme as Percentage of Nominal on Input V2,,,,,,,
398,Overvoltage Duration on Input V2,,,,,,,
399,Overvoltage Count N11 on Input V2,,,,,,,
400,Overvoltage Count N12 on Input V2,,,,,,,
401,Overvoltage Count N13 on Input V2,,,,,,,
402,Overvoltage Count N14 on Input V2,,,,,,,
403,Overvoltage Count N15 on Input V2,,,,,,,
404,Overvoltage Count N21 on Input V2,,,,,,,
405,Overvoltage Count N22 on Input V2,,,,,,,
406,Overvoltage Count N23 on Input V2,,,,,,,
407,Overvoltage Count N24 on Input V2,,,,,,,
408,Overvoltage Count N25 on Input V2,,,,,,,
409,Overvoltage Count N31 on Input V2,,,,,,,
410,Overvoltage Count N32 on Input V2,,,,,,,
411,Overvoltage Count N33 on Input V2,,,,,,,
412,Overvoltage Count N34 on Input V2,,,,,,,
413,Overvoltage Count N35 on Input V2,,,,,,,
414,Voltage Dip Extreme as Percentage of Nominal on Input V3,,,,,,,
415,Voltage Dip Duration on Input V3,,,,,,,
416,Voltage Dip Count N11 on Input V3,,,,,,,
417,Voltage Dip Count N12 on Input V3,,,,,,,
418,Voltage Dip Count N13 on Input V3,,,,,,,
419,Voltage Dip Count N14 on Input V3,,,,,,,
420,Voltage Dip Count N21 on Input V3,,,,,,,
421,Voltage Dip Count N22 on Input V3,,,,,,,
422,Voltage Dip Count N23 on Input V3,,,,,,,
423,Voltage Dip Count N24 on Input V3,,,,,,,
424,Voltage Dip Count N31 on Input V3,,,,,,,
425,Voltage Dip Count N32 on Input V3,,,,,,,
426,Voltage Dip Count N33 on Input V3,,,,,,,
427,Voltage Dip Count N34 on Input V3,,,,,,,
428,Voltage Dip Count N41 on Input V3,,,,,,,
429,Voltage Dip Count N42 on Input V3,,,,,,,
430,Voltage Dip Count N43 on Input V3,,,,,,,
431,Voltage Dip Count N44 on Input V3,,,,,,,
432,Voltage Dip Count N51 on Input V3,,,,,,,
433,Voltage Dip Count N52 on Input V3,,,,,,,
434,Voltage Dip Count N53 on Input V3,,,,,,,
435,Voltage Dip Count N54 on Input V3,,,,,,,
436,Voltage Dip Count N61 on Input V3,,,,,,,
437,Voltage Dip Count N62 on Input V3,,,,,,,
438,Voltage Dip Count N63 on Input V3,,,,,,,
439,Voltage Dip Count N64 on Input V3,,,,,,,
440,Voltage Flicker Count N on Input V3,,,,,,,
441,Voltage Flicker Count N invalid on Input V3,,,,,,,
442,Voltage Flicker Count N1 on Input V3,,,,,,,
443,Voltage Flicker Plt on Input V3,,,,,,,
444,Voltage Flicker Pst on Input V3,,,,,,,
445,Voltage Harmonics Count N on Input V3,,,,,,,
446,Voltage Harmonics Count N invalid on Input V3,,,,,,,
447,Voltage Harmonics Count N1 on Input V3,,,,,,,
448,Voltage Harmonics Count N2 on Input V3,,,,,,,
449,Voltage Inter-Harmonics Count N on Input V3,,,,,,,
450,Voltage Inter-Harmonics Count N invalid on Input V3,,,,,,,
451,Voltage Inter-Harmonics Count N1 on Input V3,,,,,,,
452,Voltage Interruption Count N1 on Input V3,,,,,,,
453,Voltage Interruption Count N2 on Input V3,,,,,,,
454,Voltage Interruption Count N3 on Input V3,,,,,,,
455,Voltage Interruption Duration on Input V3,,,,,,,
456,Voltage Magnitude Count N on Input V3,,,,,,,
457,Voltage Magnitude Count N invalid on Input V3,,,,,,,
458,Voltage Magnitude Count N1 on Input V3,,,,,,,
459,Voltage Mains Signaling Count N on Input V3,,,,,,,
460,Voltage Mains Signaling Count N1 on Input V3,,,,,,,
461,Voltage Mains Signaling Count N invalid on Input V3,,,,,,,
462,Overvoltage Extreme as Percentage of Nominal on Input V3,,,,,,,
463,Overvoltage Duration on Input V3,,,,,,,
464,Overvoltage Count N11 on Input V3,,,,,,,
465,Overvoltage Count N12 on Input V3,,,,,,,
466,Overvoltage Count N13 on Input V3,,,,,,,
467,Overvoltage Count N14 on Input V3,,,,,,,
468,Overvoltage Count N15 on Input V3,,,,,,,
